,perc_imputed,feature,mae,imputer
136,20,min_tvd,598.801896839,Median
137,20,num_pools_produced,0.0,Median
138,20,std_tvd,29.8435607786,Median
139,20,surface_lat,0.351703012153,Median
140,20,surface_lng,0.381608444595,Median
141,20,total_lbs_proppant,996855.542429,Median
142,20,total_volume_bbls,24218.9093178,Median
143,20,tvd,578.11563228,Median
144,30,GRElev,149.398879552,Median
145,30,KBElev,137.715966387,Median
146,30,TD,1108.30672269,Median
147,30,bh_lat,0.350008117647,Median
148,30,bh_lng,0.379196873669,Median
149,30,legs,0.204481792717,Median
150,30,max_tvd,567.167288515,Median
151,30,mean_tvd,577.214215539,Median
152,30,min_tvd,595.914532213,Median
153,30,num_pools_produced,0.0,Median
154,30,std_tvd,28.8912234229,Median
155,30,surface_lat,0.350755200588,Median
156,30,surface_lng,0.379103422908,Median
157,30,total_lbs_proppant,989498.37451,Median
158,30,total_volume_bbls,24244.7327731,Median
159,30,tvd,575.61907563,Median
160,40,GRElev,147.864671164,Median
161,40,KBElev,138.477234401,Median
162,40,TD,1122.12816189,Median
163,40,bh_lat,0.351345121838,Median
164,40,bh_lng,0.379872821669,Median
165,40,legs,0.206576728499,Median
166,40,max_tvd,568.935919056,Median
167,40,mean_tvd,578.200146278,Median
168,40,min_tvd,599.123988196,Median
169,40,num_pools_produced,0.0,Median
170,40,std_tvd,29.1503213508,Median
171,40,surface_lat,0.352087856384,Median
172,40,surface_lng,0.379941825906,Median
173,40,total_lbs_proppant,982034.416526,Median
174,40,total_volume_bbls,25244.5054806,Median
175,40,tvd,577.304978921,Median
176,50,GRElev,164.645454545,Median
177,50,KBElev,138.171380471,Median
178,50,TD,1104.41515152,Median
179,50,bh_lat,0.347306040067,Median
180,50,bh_lng,0.380584539057,Median
181,50,legs,0.202693602694,Median
182,50,max_tvd,554.926282828,Median
183,50,mean_tvd,564.057761518,Median
184,50,min_tvd,588.276572391,Median
185,50,num_pools_produced,0.0,Median
186,50,std_tvd,30.1896628778,Median
187,50,surface_lat,0.347674093887,Median
188,50,surface_lng,0.380458290474,Median
189,50,total_lbs_proppant,964221.903367,Median
190,50,total_volume_bbls,25092.640404,Median
191,50,tvd,563.258841751,Median
192,60,GRElev,160.466104079,Median
193,60,KBElev,137.832208158,Median
194,60,TD,1119.27791842,Median
195,60,bh_lat,0.350430125598,Median
196,60,bh_lng,0.382822243601,Median
197,60,legs,0.205063291139,Median
198,60,max_tvd,558.316902954,Median
199,60,mean_tvd,567.014287275,Median
200,60,min_tvd,591.049004219,Median
201,60,num_pools_produced,0.0,Median
202,60,std_tvd,30.0894531084,Median
203,60,surface_lat,0.350638522831,Median
204,60,surface_lng,0.382680371073,Median
205,60,total_lbs_proppant,1053523.53727,Median
206,60,total_volume_bbls,25106.5447257,Median
207,60,tvd,566.508218003,Median
208,70,GRElev,162.212038141,Median
209,70,KBElev,137.895828367,Median
210,70,TD,1111.23206198,Median
211,70,bh_lat,0.348254560906,Median
212,70,bh_lng,0.384536416448,Median
213,70,legs,0.205959475566,Median
214,70,max_tvd,555.898042908,Median
215,70,mean_tvd,564.862147314,Median
216,70,min_tvd,588.52105006,Median
217,70,num_pools_produced,0.0,Median
218,70,std_tvd,30.3743040743,Median
219,70,surface_lat,0.348117971765,Median
220,70,surface_lng,0.384267186331,Median
221,70,total_lbs_proppant,1046434.23981,Median
222,70,total_volume_bbls,24985.1202622,Median
223,70,tvd,564.145056019,Median
224,10,GRElev,32.9373905356,KNN
225,10,KBElev,33.6568769648,KNN
226,10,TD,731.560670286,KNN
227,10,bh_lat,0.144739379916,KNN
228,10,bh_lng,0.150667493814,KNN
229,10,legs,0.337164866225,KNN
230,10,max_tvd,74.4870976337,KNN
231,10,mean_tvd,77.3046381603,KNN
232,10,min_tvd,84.7952532273,KNN
233,10,num_pools_produced,0.159679908868,KNN
234,10,std_tvd,21.5359653276,KNN
235,10,surface_lat,0.148623583001,KNN
236,10,surface_lng,0.150847291167,KNN
237,10,total_lbs_proppant,581601.693076,KNN
238,10,total_volume_bbls,17458.8364942,KNN
239,10,tvd,79.981103021,KNN
240,20,GRElev,36.0854112989,KNN
241,20,KBElev,36.4313471586,KNN
242,20,TD,737.834194579,KNN
243,20,bh_lat,0.156474187158,KNN
244,20,bh_lng,0.157938635866,KNN
245,20,legs,0.32884410501,KNN
246,20,max_tvd,75.4284502705,KNN
247,20,mean_tvd,79.1510990902,KNN
248,20,min_tvd,92.0680266399,KNN
249,20,num_pools_produced,0.161439328003,KNN
250,20,std_tvd,23.3732783343,KNN
251,20,surface_lat,0.157227746578,KNN
252,20,surface_lng,0.15786998933,KNN
253,20,total_lbs_proppant,629653.964419,KNN
254,20,total_volume_bbls,15709.3488,KNN
255,20,tvd,81.5352908254,KNN
256,30,GRElev,49.4288493796,KNN
257,30,KBElev,38.5601676534,KNN
258,30,TD,755.156130017,KNN
259,30,bh_lat,0.171027972363,KNN
260,30,bh_lng,0.17094800548,KNN
261,30,legs,0.337004733929,KNN
262,30,max_tvd,77.3483006785,KNN
263,30,mean_tvd,81.1985712348,KNN
264,30,min_tvd,92.5503602416,KNN
265,30,num_pools_produced,0.172790458661,KNN
266,30,std_tvd,22.982108626,KNN
267,30,surface_lat,0.171757261212,KNN
268,30,surface_lng,0.170684396307,KNN
269,30,total_lbs_proppant,634029.080431,KNN
270,30,total_volume_bbls,15752.0591098,KNN
271,30,tvd,83.0557769868,KNN
272,40,GRElev,49.6712045227,KNN
273,40,KBElev,41.2951388612,KNN
274,40,TD,774.431000654,KNN
275,40,bh_lat,0.188431985697,KNN
276,40,bh_lng,0.191230889,KNN
277,40,legs,0.34756702832,KNN
278,40,max_tvd,82.0839772473,KNN
279,40,mean_tvd,85.3961692665,KNN
280,40,min_tvd,97.0371686659,KNN
281,40,num_pools_produced,0.187082897841,KNN
282,40,std_tvd,23.3454186782,KNN
283,40,surface_lat,0.188951434627,KNN
284,40,surface_lng,0.190971108931,KNN
285,40,total_lbs_proppant,640176.983677,KNN
286,40,total_volume_bbls,17044.7217681,KNN
287,40,tvd,87.196207618,KNN
288,50,GRElev,68.2430896168,KNN
289,50,KBElev,42.5559091503,KNN
290,50,TD,777.396757588,KNN
291,50,bh_lat,0.207343057009,KNN
292,50,bh_lng,0.214948668281,KNN
293,50,legs,0.361326621387,KNN
294,50,max_tvd,82.3269758108,KNN
295,50,mean_tvd,86.2462437382,KNN
296,50,min_tvd,99.8438595523,KNN
297,50,num_pools_produced,0.201673463107,KNN
298,50,std_tvd,24.6279017697,KNN
