api	bakken_isopach_ft	choke_size	fluid_per_ft	length	min_dist	production_liquid_180	prop_per_ft	spud_year	stage_spacing	std_tvd	stimulated_formation	surface_lat	surface_lng	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd
33023010680000	90.0	0.4375	9.437840704019814	6164.121839354777	9667.069894514752	25694.0	438.3592781616464	2013.0	0.004055727750283542	109.07889558299999	1.0	48.7486558345	-103.845224733	2702100.0	25.0	58176.0	8756.79
33061019000000	110.0	1.0	2.971073091430578	9150.565860670025	1319.3633387252842	45299.0	204.01361275632692	2011.0	0.0028413543376317736	127.284840424	1.0	48.137685227700004	-102.37020053299999	1866840.0	26.0	27187.0	9830.13
33053051430000	80.0	0.28125	1.6247928567668943	9926.803858612726	411.6252335883888	12653.0	166.3617034769124	2013.0	0.003223595475016468	111.83661137899999	0.0	47.7018944454	-102.86919776299999	1651440.0	32.0	16129.0	11023.77
33053045070000	80.0	0.34375	4.690566926131191	10054.43494202495	2760.6650613072256	79246.0	648.0314445883489	2012.0	0.002287547747100727	120.535501456	1.0	47.67477871609999	-102.709853882	6515590.0	23.0	47161.0	11068.31
33053047660000	90.0	0.609375	34.53054749370085	2785.099194200259	3596.8627313978027	74794.0	1526.6931996010862	2013.0	0.011848770079255992	139.224512769	1.0	47.731386344099995	-103.253208816	4251992.0	33.0	96171.0	11190.58
33053049720000	90.0		7.684518279960254	3879.228198043168	2409.2905047805903	52315.0	532.9668414564852	2013.0	0.003866748547447293	142.10161465	1.0	47.9912808434	-102.96346102	2067500.0	15.0	29810.0	10528.13
33061020550000	130.0	0.5625	3.7593707878929217	10030.66793024037	1330.7316974213238	84280.0	163.09561949189128	2012.0	0.0033896047836951214	257.009950968	1.0	48.196541786400005	-102.761648848	1635958.0	34.0	37709.0	10398.59
33061025000000	130.0	0.46875			203.23219354125095	70656.0		2013.0		182.748511087	0.0	48.16930093770001	-102.667917334	1757893.0	35.0	37044.0	10789.64
33053049810000	70.0		9.12849205871396	10494.723485961671	401.71159466113284	37883.0	364.63095050753924	2013.0	0.0034302952381885634	74.8801729949	1.0	48.082596297799995	-103.60739020700001	3826701.0	36.0	95801.0	10741.22
33105023020000	90.0	0.5625	15.729677473935896	4393.542087211498	13352.054413551106	35027.0	540.9403057541696	2011.0	0.007055810410974153	135.921274678	1.0	48.5763625086	-103.346830095	2376644.0	31.0	69109.0	9775.45
