api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	data_group	legs	mean_tvd	min_tvd	production_liquid_180	std_tvd	surface_lat	surface_lng	td	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	length	stage_spacing	spud_year	shortest_dist	target_formation
33053033430000	90.0	48.0234	-103.231326	0.78125	TEST	2.0	11101.5107801	10576.49	104625.0	118.67992771600001	47.993547091800004	-103.232119465	21700.0	4101106.0	39.0	79611.0	11137.52	10895.520697928829	0.003579452610044939	2011.0	2.6826460164431887	1.0
33053042370000	50.0	47.877931	-103.55419	0.6875	TEST	2.0	10930.7252344	10549.2	75027.0	80.1150024181	47.905185108699996	-103.551188375	20763.0	3912816.0	35.0	108285.0	10947.15	9972.538469429861	0.0035096380031313114	2012.0	2.5164897494277065	1.0
33025007170000	60.0	47.310643	-102.790397	0.28125	TEST	4.0	10577.737561	10107.43	36508.0	216.970577547	47.3127819041	-102.793654742	20574.0	1758189.0	15.0	58830.0	10777.8			2010.0	17.496963479279636	1.0
33105031450000	100.0	48.227672	-102.943197	0.5625	TEST	2.0	9776.96928571	9147.3	68023.0	152.482783031	48.2540774826	-102.944218816	19125.0	2341327.0	35.0	38547.0	9886.58	9638.977946009003	0.0036310903703739325	2013.0	1.362879679409526	1.0
33053048550000	60.0	48.081841	-103.673645	0.25	TEST	3.0	10495.2385714	10110.76	32028.0	138.883354478	48.0753046843	-103.66926130600001	23475.0	3937842.0	43.0	85599.0	10586.86	2613.7057127075427	0.016451737389920694	2013.0	12.544207531681806	0.0
33025006730000	60.0	47.355055	-102.593519		TEST	2.0	10422.6686923	9998.46	17826.0	90.1179514465	47.3303585135	-102.595805966	19341.0				10458.58	9029.863484697724		2008.0	5.661110671464679	1.0
33053055900000	80.0	47.93450900000001	-103.410318	0.484375	TEST	2.0	11326.7261212	10850.72	82134.0	94.2069204148	47.932384478	-103.365209815	22295.0	4647977.0	24.0	113750.0	11327.38	11055.769272686926	0.0021708123069546646	2014.0	0.6461521785120595	0.0
33053043730000	90.0	48.02325	-102.994968	0.5	TEST	2.0	10478.9357143	10009.36	100462.0	97.7227334764	47.9927192158	-102.995969207	21440.0	3350140.0	30.0	53056.0	10485.64	11143.847270411905	0.002692068481560509	2013.0	1.3335197650302337	1.0
33061013190000	140.0	48.284638	-102.730437	0.34375	TEST	3.0	10032.7061674	8796.5	46268.0	350.83718197	48.3134263216	-102.72194568200001	20806.0	463737.0	18.0	25978.0	10272.91	10705.639399707425	0.0016813568370789627	2010.0	2.1749759151615597	1.0
33025024010000	90.0	47.632266	-102.564549	0.5	TEST	2.0	10543.968125	10017.2	108912.0	123.427183282	47.6596794859	-102.56272731600001	20498.0	4719720.0	19.0	84671.0	10582.85	10013.63484544064	0.0018974129068278327	2014.0	3.0462785049632366	0.0
